plot,general,region,lat,lon,elevation
AEG01,AEG,BE,48.398006439208984,9.341986656188965,
AEG02,AEG,BE,48.37685775756836,9.472784042358398,
AEG03,AEG,BE,48.40888214111328,9.532379150390625,
AEG04,AEG,BE,48.380889892578125,9.418889045715332,
AEG05,AEG,BE,48.3958740234375,9.439200401306152,
AEG06,AEG,BE,48.40126037597656,9.441678047180176,
AEG07,AEG,BE,48.391422271728516,9.376847267150879,
AEG08,AEG,BE,48.42264175415039,9.492124557495117,
AEG09,AEG,BE,48.39467239379883,9.502792358398438,
AEG10,AEG,BE,48.37871170043945,9.212600708007812,
AEG11,AEG,BE,48.48539733886719,9.347715377807617,
AEG12,AEG,BE,48.389122009277344,9.350231170654297,
AEG13,AEG,BE,48.39164733886719,9.362197875976562,
AEG14,AEG,BE,48.37575912475586,9.518669128417969,
AEG15,AEG,BE,48.48788070678711,9.448654174804688,
AEG16,AEG,BE,48.40210723876953,9.455461502075195,
AEG17,AEG,BE,48.399322509765625,9.5183687210083,
AEG18,AEG,BE,48.38294219970703,9.521442413330078,
AEG19,AEG,BE,48.39764404296875,9.447319030761719,
AEG20,AEG,BE,48.48950958251953,9.356402397155762,
AEG21,AEG,BE,48.442203521728516,9.357219696044922,
AEG22,AEG,BE,48.404380798339844,9.513422966003418,
AEG23,AEG,BE,48.41895294189453,9.512353897094727,
AEG24,AEG,BE,48.39646530151367,9.493492126464844,
AEG25,AEG,BE,48.395477294921875,9.259596824645996,
AEG26,AEG,BE,48.39510726928711,9.403882026672363,
AEG27,AEG,BE,48.41913986206055,9.479931831359863,
AEG28,AEG,BE,48.462074279785156,9.492302894592285,
AEG29,AEG,BE,48.416839599609375,9.358325004577637,
AEG30,AEG,BE,48.45623779296875,9.457297325134277,
AEG31,AEG,BE,48.458744049072266,9.4600248336792,
AEG32,AEG,BE,48.4658317565918,9.4857816696167,
AEG33,AEG,BE,48.45142364501953,9.491050720214844,
AEG34,AEG,BE,48.45587921142578,9.500557899475098,
AEG35,AEG,BE,48.48088836669922,9.28843879699707,
AEG36,AEG,BE,48.4781608581543,9.299243927001953,
AEG37,AEG,BE,48.39615249633789,9.413545608520508,
AEG38,AEG,BE,48.439544677734375,9.425251007080078,
AEG39,AEG,BE,48.39421844482422,9.42568302154541,
AEG40,AEG,BE,48.40979766845703,9.56656265258789,
AEG41,AEG,BE,48.36994552612305,9.398486137390137,
AEG42,AEG,BE,48.397987365722656,9.376017570495605,
AEG43,AEG,BE,48.413421630859375,9.542016983032227,
AEG44,AEG,BE,48.377994537353516,9.434996604919434,
AEG45,AEG,BE,48.40133285522461,9.457952499389648,
AEG46,AEG,BE,48.39697265625,9.43488883972168,
AEG47,AEG,BE,48.41923141479492,9.446157455444336,
AEG48,AEG,BE,48.42184829711914,9.498669624328613,
AEG49,AEG,BE,48.45676040649414,9.504622459411621,
AEG50,AEG,BE,48.40565490722656,9.46764850616455,
AET06,AEW,BE,48.39400100708008,9.444999694824219,
AEW01,AEW,BE,48.47807312011719,9.334409713745117,
AEW02,AEW,BE,48.37998962402344,9.35145092010498,
AEW03,AEW,BE,48.412261962890625,9.3555908203125,
AEW04,AEW,BE,48.39909744262695,9.244827270507812,
AEW05,AEW,BE,48.41961669921875,9.414681434631348,
AEW06,AEW,BE,48.39405059814453,9.445937156677246,
AEW07,AEW,BE,48.396240234375,9.261356353759766,
AEW08,AEW,BE,48.382591247558594,9.382384300231934,
AEW09,AEW,BE,48.369346618652344,9.415217399597168,
AEW10,AEW,BE,48.37778854370117,9.393147468566895,
AEW11,AEW,BE,48.49159622192383,9.31975269317627,
AEW12,AEW,BE,48.36946105957031,9.251365661621094,
AEW13,AEW,BE,48.378910064697266,9.398677825927734,
AEW14,AEW,BE,48.37556076049805,9.337759971618652,
AEW15,AEW,BE,48.389469146728516,9.406510353088379,
AEW16,AEW,BE,48.38614273071289,9.444652557373047,
AEW17,AEW,BE,48.39645767211914,9.24299144744873,
AEW18,AEW,BE,48.3650016784668,9.23379898071289,
AEW19,AEW,BE,48.48424530029297,9.31118392944336,
AEW20,AEW,BE,48.37010192871094,9.318719863891602,
AEW21,AEW,BE,48.484397888183594,9.321194648742676,
AEW22,AEW,BE,48.38230895996094,9.452637672424316,
AEW23,AEW,BE,48.38582992553711,9.487975120544434,
AEW24,AEW,BE,48.478981018066406,9.294785499572754,
AEW25,AEW,BE,48.47589111328125,9.4209566116333,
AEW26,AEW,BE,48.41746139526367,9.43817138671875,
AEW27,AEW,BE,48.40023422241211,9.47435188293457,
AEW28,AEW,BE,48.49235534667969,9.305009841918945,
AEW29,AEW,BE,48.383663177490234,9.356606483459473,
AEW30,AEW,BE,48.37273406982422,9.371376991271973,
AEW31,AEW,BE,48.381141662597656,9.256823539733887,
AEW32,AEW,BE,48.410518646240234,9.366384506225586,
AEW33,AEW,BE,48.391170501708984,9.490469932556152,
AEW34,AEW,BE,48.39114761352539,9.495871543884277,
AEW35,AEW,BE,48.44569778442383,9.415164947509766,
AEW36,AEW,BE,48.380401611328125,9.22307014465332,
AEW37,AEW,BE,48.39209747314453,9.439167976379395,
AEW38,AEW,BE,48.382991790771484,9.4454345703125,
AEW39,AEW,BE,48.375789642333984,9.23654842376709,
AEW40,AEW,BE,48.499603271484375,9.34943675994873,
AEW41,AEW,BE,48.364410400390625,9.40413761138916,
AEW42,AEW,BE,48.39609146118164,9.452706336975098,
AEW43,AEW,BE,48.37909698486328,9.378308296203613,
AEW44,AEW,BE,48.38570785522461,9.223093032836914,
AEW45,AEW,BE,48.38923645019531,9.501253128051758,
AEW46,AEW,BE,48.386260986328125,9.35932445526123,
AEW47,AEW,BE,48.41670227050781,9.407903671264648,
AEW48,AEW,BE,48.388458251953125,9.472756385803223,
AEW49,AEW,BE,48.445369720458984,9.476394653320312,
AEW50,AEW,BE,48.39211654663086,9.254447937011719,
HEG01,HEG,BE,50.971649169921875,10.405363082885742,
HEG02,HEG,BE,51.00074768066406,10.430009841918945,
HEG03,HEG,BE,50.99809265136719,10.43294906616211,
HEG04,HEG,BE,51.11336135864258,10.436180114746094,
HEG05,HEG,BE,51.21589279174805,10.322526931762695,
HEG06,HEG,BE,51.214935302734375,10.391221046447754,
HEG07,HEG,BE,51.273582458496094,10.410412788391113,
HEG08,HEG,BE,51.27125930786133,10.41794490814209,
HEG09,HEG,BE,51.22389602661133,10.380786895751953,
HEG10,HEG,BE,51.275150299072266,10.446761131286621,
HEG11,HEG,BE,51.28066635131836,10.456177711486816,
HEG12,HEG,BE,51.07722091674805,10.575819969177246,
HEG13,HEG,BE,51.259681701660156,10.379945755004883,
HEG14,HEG,BE,51.29405975341797,10.435799598693848,
HEG15,HEG,BE,51.06801223754883,10.48623275756836,
HEG16,HEG,BE,51.03349685668945,10.458843231201172,
HEG17,HEG,BE,51.07050323486328,10.47045612335205,
HEG18,HEG,BE,51.28366470336914,10.42468547821045,
HEG19,HEG,BE,51.073238372802734,10.473219871520996,
HEG20,HEG,BE,51.221065521240234,10.370981216430664,
HEG21,HEG,BE,51.190704345703125,10.752568244934082,
HEG22,HEG,BE,51.03075408935547,10.32492733001709,
HEG23,HEG,BE,51.13430404663086,10.338186264038086,
HEG24,HEG,BE,51.10106658935547,10.351214408874512,
HEG25,HEG,BE,51.02339172363281,10.322341918945312,
HEG26,HEG,BE,51.28150177001953,10.371725082397461,
HEG27,HEG,BE,51.086448669433594,10.596988677978516,
HEG28,HEG,BE,51.265907287597656,10.49692153930664,
HEG29,HEG,BE,51.26411056518555,10.498427391052246,
HEG30,HEG,BE,51.20185089111328,10.35991096496582,
HEG31,HEG,BE,51.17035675048828,10.221195220947266,
HEG32,HEG,BE,51.07551193237305,10.567609786987305,
HEG33,HEG,BE,51.11143493652344,10.425963401794434,
HEG34,HEG,BE,51.214290618896484,10.386935234069824,
HEG35,HEG,BE,51.219825744628906,10.41111946105957,
HEG36,HEG,BE,51.03144836425781,10.510233879089355,
HEG37,HEG,BE,51.03239059448242,10.514493942260742,
HEG38,HEG,BE,51.11620330810547,10.341535568237305,
HEG39,HEG,BE,51.12022399902344,10.346247673034668,
HEG40,HEG,BE,50.96681213378906,10.44681453704834,
HEG41,HEG,BE,51.22102737426758,10.36691665649414,
HEG42,HEG,BE,51.06944274902344,10.464783668518066,
HEG43,HEG,BE,51.301971435546875,10.43581771850586,
HEG44,HEG,BE,51.055198669433594,10.479632377624512,
HEG45,HEG,BE,51.03953170776367,10.50853443145752,
HEG46,HEG,BE,51.20689392089844,10.753548622131348,
HEG47,HEG,BE,51.28419876098633,10.371916770935059,
HEG48,HEG,BE,51.28683090209961,10.380138397216797,
HEG49,HEG,BE,51.27890396118164,10.39188289642334,
HEG50,HEG,BE,51.27650833129883,10.42077350616455,
HET38,HEW,BE,51.07899856567383,10.460000038146973,439.0
HET44,HEW,BE,51.33300018310547,10.368000030517578,451.0
HEW01,HEW,BE,51.18535614013672,10.323620796203613,
HEW02,HEW,BE,51.21001052856445,10.369954109191895,
HEW03,HEW,BE,51.27164840698242,10.310738563537598,
HEW04,HEW,BE,51.36948013305664,10.533327102661133,
HEW05,HEW,BE,51.263877868652344,10.240958213806152,
HEW06,HEW,BE,51.26771926879883,10.239377975463867,
HEW07,HEW,BE,51.1310920715332,10.385448455810547,
HEW08,HEW,BE,51.35579299926758,10.5169677734375,
HEW09,HEW,BE,51.13024139404297,10.381149291992188,
HEW10,HEW,BE,51.089988708496094,10.462433815002441,
HEW11,HEW,BE,51.10283279418945,10.400854110717773,
HEW12,HEW,BE,51.10068893432617,10.455183029174805,
HEW13,HEW,BE,51.242645263671875,10.312946319580078,
HEW14,HEW,BE,51.36616516113281,10.25815200805664,
HEW15,HEW,BE,51.205078125,10.390161514282227,
HEW16,HEW,BE,51.18315887451172,10.365466117858887,
HEW17,HEW,BE,51.282814025878906,10.226903915405273,
HEW18,HEW,BE,51.33696746826172,10.365455627441406,
HEW19,HEW,BE,51.1992301940918,10.337726593017578,
HEW20,HEW,BE,51.333927154541016,10.360254287719727,
HEW21,HEW,BE,51.194278717041016,10.319005012512207,
HEW22,HEW,BE,51.33715057373047,10.359278678894043,
HEW23,HEW,BE,51.27821731567383,10.20844841003418,
HEW24,HEW,BE,51.04650115966797,10.491211891174316,
HEW25,HEW,BE,51.284568786621094,10.223969459533691,
HEW26,HEW,BE,51.34432601928711,10.513031959533691,
HEW27,HEW,BE,51.356117248535156,10.52126407623291,
HEW28,HEW,BE,51.358882904052734,10.526917457580566,
HEW29,HEW,BE,51.12754440307617,10.379687309265137,
HEW30,HEW,BE,51.13468551635742,10.378636360168457,
HEW31,HEW,BE,51.14225387573242,10.377314567565918,
HEW32,HEW,BE,51.139530181884766,10.358590126037598,
HEW33,HEW,BE,51.341575622558594,10.508814811706543,
HEW34,HEW,BE,51.08470916748047,10.454273223876953,
HEW35,HEW,BE,51.10469055175781,10.405074119567871,
HEW36,HEW,BE,51.10627746582031,10.409302711486816,
HEW37,HEW,BE,51.08442687988281,10.45860767364502,
HEW38,HEW,BE,51.07936096191406,10.460174560546875,
HEW39,HEW,BE,51.092952728271484,10.465861320495605,
HEW40,HEW,BE,51.0799446105957,10.498258590698242,
HEW41,HEW,BE,51.108055114746094,10.454936981201172,
HEW42,HEW,BE,51.102752685546875,10.45982551574707,
HEW43,HEW,BE,51.33209991455078,10.358023643493652,
HEW44,HEW,BE,51.333675384521484,10.368012428283691,
HEW45,HEW,BE,51.36396026611328,10.261107444763184,
HEW46,HEW,BE,51.048095703125,10.475472450256348,
HEW47,HEW,BE,51.17893600463867,10.37834358215332,
HEW48,HEW,BE,51.136688232421875,10.393698692321777,
HEW49,HEW,BE,51.143646240234375,10.384539604187012,
HEW50,HEW,BE,51.09281539916992,10.455445289611816,
HEW51,HEW,BE,51.193660736083984,10.353638648986816,
SEG01,SEG,BE,53.08742141723633,13.969643592834473,
SEG02,SEG,BE,53.08930587768555,13.980047225952148,
SEG03,SEG,BE,53.10283279418945,13.985699653625488,
SEG04,SEG,BE,53.11375427246094,14.001871109008789,
SEG05,SEG,BE,53.107452392578125,14.000523567199707,
SEG06,SEG,BE,53.10349655151367,13.622833251953125,
SEG07,SEG,BE,53.088382720947266,13.977068901062012,
SEG08,SEG,BE,53.11397171020508,14.017099380493164,
SEG09,SEG,BE,53.098182678222656,13.612566947937012,
