plot,general,easting,northing,elevation,comment
GF1,ba_loggers,383599,5419946,772,""
GF2,ba_loggers,383143,5419686,774,""
FS1,ba_loggers,374804,5438239,1292,""
FS2,ba_loggers,374805,5438290,1295,""
RS1,ba_loggers,383209,5425885,1097,""
RS2,ba_loggers,382934,5425895,1088,""
WH1,ba_loggers,370700,5439962,711,""
WH2,ba_loggers,370510,5439887,718,""
Falkenstein,ba_stations,374399,5437774,1307,""
HausZurWildnis,ba_stations,371427,5435618,680,""
Taferlruck,ba_stations,383566,5422004,707,""
Waldschmidthaus,ba_stations,382196,5426481,1350,""
Waldhäuser,ba_stations,4607438.4,5422369.2,940,"in GaussKrüger!! 940 NPV?"
KlingenbrunnBahnhof,ba_stations,4598031.9,5424259.5,759,"in GaussKrüger!! 759 NPV?"
