PlotID,Elevation
cof1,1303.0789
cof2,1353.4817
cof3,1287.8853
cof4,1134.4414
cof5,1668.7827
fer0,3956.091
fer1,3891.9727
fer2,3614.546
fer3,3888.166
fer4,3419.8628
fer5,3995.1394
flm1,1916.2699
flm2,1832.9033
flm3,1779.7103
flm4,1830.2983
flm5,2097.2778
flm6,2054.0747
foc0,2490.9775
foc1,2149.7058
foc2,2238.1084
foc3,2499.9583
foc4,2580.6506
foc5,2741.1382
foc6,2166.4624
fod1,2184.9587
fod2,2495.3987
fod3,2285.879
fod4,2567.7227
fod5,2422.159
fpd0,3010.4583
fpd1,2838.2793
fpd2,2995.9998
fpd3,2792.225
fpd4,2818.814
fpd5,2756.4966
fpo0,2771.1655
fpo1,2832.7522
fpo2,2937.1492
fpo3,3009.127
fpo4,2756.2678
fpo5,2825.4412
gra0,1731.6256
gra1,1741.6427
gra2,1754.4733
gra3,1474.4619
gra4,1314.1298
gra5,1266.4102
hel1,3848.8953
hel2,4234.163
hel3,4283.3853
hel4,4396.385
hel5,4547.7744
hom1,1657.6791
hom2,1171.2529
hom3,1823.7817
hom4,1299.7073
hom5,1530.2344
mai0,1009.7287
mai1,1008.4872
mai2,871.7245
mai3,868.8175
mai4,962.0432
mai5,952.605
nkw1,1676.1448
sav0,952.8452
sav1,882.83765
sav2,1028.1492
sav3,1138.7771
sav4,962.8048
sav5,942.55334
sun1,1154.3486
sun2,1340.9812
sun3,1332.7849
sun4,1157.254
fed1,3497.85
fed2,3801.28
fed3,3980.13
fed4,3749.26
fed5,3874.97
gra6,1383.69
cof6,1516.34
