PlotID,Easting,Northing,Z_GPS,Z_DEM_HMP
cof1,305570.1448,9641685.5932,1306,1303.08
cof2,307589.21,9642773.7823,1345,1353.48
cof3,313266.4639,9641159.5297,1305,1287.89
cof4,313503.3149,9637491.4963,1124,1134.44
fer1,312060.1875,9658202.5028,3849,3891.97
fer2,313024.9171,9656691.6146,3510,3614.55
fer4,313015.5214,9656239.2117,3500,3419.86
flm1,303912.2072,9650029.4389,1920,1916.27
flm2,315824.6298,9645152.4826,1800,1832.9
flm3,324102.5709,9639798.6663,1560,1779.71
flm4,324378.1832,9640089.8028,1623,1830.3
flm6,335428.4796,9643348.2764,2040,2054.07
foc1,304670.7494,9652536.2673,2120,2149.71
foc2,304929.3772,9653424.1511,2260,2238.11
foc3,311334.1864,9653089.9069,2540,2499.34
foc4,311570.7039,9653243.778,2650,2580.65
foc5,317478.7634,9649522.4738,2750,2741.14
fod1,309869.6991,9651851.8689,2220,2184.96
fod2,317483.5485,9648258.7828,2470,2495.4
fod4,334794.5465,9647180.7376,2560,2567.72
fod5,334993.2356,9646278.5451,2370,2422.16
fpd1,312291.1451,9654677.8595,3060,2838.28
fpd2,318501.8092,9650434.4843,2990,2996
fpd3,326450.4237,9647594.9812,2880,2792.23
fpd5,335356.4188,9649155.5654,2770,2756.5
fpo1,306582.4915,9657105.1745,2850,2832.75
fpo2,317957.8217,9650229.057,2940,2937.15
fpo3,318014.7685,9650699.3281,2970,3009.13
fpo4,326792.2673,9647179.9592,2720,2752.5
fpo5,334637.1501,9648813.6436,2800,2825.44
gra0,304635.9569,9648396.2089,1696,1731.63
gra1,305221.8093,9648625.8953,1660,1741.64
gra2,328305.4947,9637250.2597,1748,1754.47
gra3,333382.0371,9634964.9394,1485,1474.46
gra4,333735.2499,9631845.5801,1312,1314.13
gra5,346162.1894,9635523.0092,1303,1266.41
hel1,308187.6526,9662706.1005,3880,3848.9
hel2,313698.9149,9658429.7996,4190,4217.24
hel3,319482.8941,9655769.0918,4240,4283.39
hel4,326722.5005,9657132.8918,4390,4396.38
hel5,327537.9316,9657888.9784,4550,4547.77
hom1,305997.6614,9647981.7229,1647,1657.68
hom2,311899.3431,9638856.7001,1169,1171.25
hom3,324334.7928,9638773.6595,1788,1823.78
mai2,327231.4034,9626724.8656,866,871.724
mai3,333718.5871,9625594.1564,886,868.818
fod3,328200.9988,9644044.0064,2270,2285.88
sav1,328246.7352,9627148.7668,871,882.838
sav2,332857.7866,9626497.085,906,1028.15
sav3,349154.8593,9632092.7699,1153,1138.78
sav4,353571.7951,9633370.1205,984,962.805
gra6,333364.9147,9631375.1977,1400,1383.69
cof6,315592.1576,9642866.7448,1500,1516.34
fed1,308693.5691,9659116.4881,3520,3497.85
fed4,325787.5394,9652830.9201,3660,3749.26
fed5,325770.5501,9653487.9313,3800,3874.97
fed2,318795.712,9653768.3327,3720,3801.28
fed3,326019.1376,9654346.2533,3940,3980.13
mai1,304818.3991,9634213.8246,1009,1008.49
fer3,313440.4592,9657228.136,3830,3888.17
cof5,329950.4442,9638168.6829,1648,1668.78
hom4,332479.6109,9631277.87,1275,1299.71
mai4,345797.0088,9628641.1919,960,962.043
mai5,352672.0599,9632790.7833,920,952.605
sav5,353702.6091,9634606.2796,951,942.553
fpd4,326595.5615,9647974.03,2820,2818.81
fer0,310163.5573,9659636.7125,3880,3956.09
hom5,344841.2314,9638373.5515,1560,1530.23
nkw1,304406.0354,9648118.9833,1692,1676.14
emg0,335386,9641965,0,1924.26
mch0,307231,9658017,0,2977.78
foc0,305477,9655113,0,2490.98
mwh0,318531,9651408,0,3161.11
mai0,304694,9634264,0,1009.73
sav0,354053.0439,9633917.3339,0,952.845
foc6,304864,9652552,0,2166.46
mcg0,304226.778,9649415.6331,0,2166.46
fpo0,306464,9657059,0,2771.17
fpd0,318581.0201,9650484.7114,0,3010.46
