"station","general","lat","lon"
"ACORNHOEK POLICE ARS","SAWS","-24.5972","31.0492"
"ADDO ELEPHANT PARK","SAWS","-33.4421","25.7485"
"ALIWAL-NORTH PLAATKOP","SAWS","-30.8029","26.8834"
"ALLDAYS HALY ARS","SAWS","-22.7206","29.1047"
"AMERSFOORT ARS","SAWS","-27.1086","29.8722"
"ASHTON CELLAR ARS","SAWS","-33.837","20.028"
"ATLANTIS","SAWS","-33.6078","18.4831"
"Alex Muranda Livestock Development Centre","SASSCAL","NA","NA"
"Alto Dondo","SASSCAL","NA","NA"
"Aussinanis","SASSCAL","NA","NA"
"BABANANGO","SAWS","-28.37","31.22"
"BARBERTON PRISON ARS","SAWS","-25.7833","31.05"
"BAVIAANSPOORT PUR ARS","SAWS","-25.6908","28.3633"
"BELFAST","SAWS","-25.6918","30.0344"
"BELLVILLE GOLF COURSE ARS","SAWS","-33.871","18.622"
"BETHLEHEM WO","SAWS","-28.2496","28.3343"
"BIRD ISLAND","SAWS","-33.8389","26.2861"
"BISHO","SAWS","-32.8945","27.2868"
"BLOEMFONTEIN - STAD","SAWS","-29.1206","26.1875"
"BLOEMFONTEIN WO","SAWS","-29.1039","26.2981"
"BLOEMHOF","SAWS","-27.6511","25.6219"
"BLUE HORIZONS BAY ARS","SAWS","-33.9731","25.2583"
"BLYVOORUITSIG GOLD MINE ARS","SAWS","-26.4","27.383"
"BLYVOORUITZICHT ARS","SAWS","-26.4278","27.3422"
"BOLEPI HOUSE","SAWS","-25.809","28.256"
"BONNIEVALE - SONSKYN ARS","SAWS","-33.952","20.084"
"BOTHAVILLE - BALKFONTEIN","SAWS","-27.4058","26.5044"
"BOURKE'S LUCK AWS","SAWS","-24.6724","30.8092"
"BRANDVLEI","SAWS","-30.4648","20.4786"
"BREDASDORP - KLIPDALE AGRI ARS","SAWS","-34.308","19.965"
"BRONKHORSTSPRUIT AWS","SAWS","-25.8086","28.7389"
"BUFFELDOORNS ARS","SAWS","-24.5731","27.1167"
"BUFFELSPOORT II AGR","SAWS","-25.75","27.483"
"Bagani","SASSCAL","NA","NA"
"Barragem das Neves","SASSCAL","NA","NA"
"Bentiaba","SASSCAL","NA","NA"
"Bibala","SASSCAL","NA","NA"
"CALVINIA BRAKFONTEIN ARS","SAWS","-32.343","19.531"
"CALVINIA WO","SAWS","-31.4822","19.7619"
"CAPE AGULHAS","SAWS","-34.826","20.013"
"CAPE COLUMBINE","SAWS","-32.828","17.856"
"CAPE POINT","SAWS","-34.353","18.49"
"CAPE ST FRANCIS","SAWS","-34.2123","24.8358"
"CAPE TOWN - ROYAL YACHT CLUB","SAWS","-33.9204","18.443"
"CAPE TOWN SLANGKOP","SAWS","-34.148","18.319"
"CAPE TOWN WO","SAWS","-33.9789","18.6"
"CAROLINA","SAWS","-26.0681","30.1186"
"CAROLINA ARS","SAWS","-26.0678","30.1186"
"CEDARA","SAWS","-29.5419","30.265"
"CERES AWS","SAWS","-33.385","19.321"
"CHARTERS CREEK","SAWS","-28.2","32.417"
