"PlotID","Categories","ECOSYID","FocalPlot","Easting","Northing","Lon","Lat","Ta_200","rH_200","Ts_10","SWDR_300","SWUR_300","LWDR_300","LWUR_300","PAR","WD","WV","p_200","P_RT_NRT","F_RT_NRT","TF","TLC","ET","NBS","LINK"
"sav0","Savanna",36,"N",353790,9633700,37.684838644,-3.315851993,"INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","NOT_COLLECTED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","2nd_PHASE","NOT_COLLECTED","NA"
"sav1","Savanna",36,"N",328246,9627145,37.454882241,-3.3747983888,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"sav2","Savanna",36,"N",332860,9626495,37.4965256,-3.380924975,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"sav3","Savanna",36,"N",349154,9632093,37.6430987321,-3.3303291086,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"sav4","Savanna",36,"Y",353572,9633371,37.6828722248,-3.3188232816,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"sav5","Savanna",36,"N",353697,9634606,37.6840152712,-3.3076542712,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"mai0","Maize",31,"N",304720,9634360,37.243295967,-3.309196107,"INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","NOT_COLLECTED","INSTALLED","INSTALLED","INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","2nd_PHASE","NOT_COLLECTED","NA"
"mai1","Maize",31,"Y",304837,9634244,37.2443427153,-3.3102488869,"NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"mai2","Maize",31,"N",327227,9626720,37.4457062305,-3.3786308532,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
"mai3","Maize",31,"N",333718,9625594,37.5041012815,-3.3889032488,"INSTALLED","INSTALLED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NOT_COLLECTED","NA"
